Country;2005;2010;2012;2015
EU-28;62,0;63,8;65,0;66,2
BE;66,0;69,3;70,2;70,5
BG;56,0;55,0;56,9;58,0
CZ;53,6;55,6;56,7;53,6
DK;74,6;75,2;75,6;76,8
DE;60,0;62,6;64,9;65,5
EE;52,2;53,4;53,5;56,7
IE;61,9;65,4;67,7;69,5
EL;46,8;48,6;50,1;50,0
ES;62,2;66,4;67,4;68,3
FR;65,2;67,5;68,9;72,6
HR;50,3;52,3;52,6;53,1
IT;49,2;53,3;56,5;62,1
CY;45,9;49,0;50,6;55,1
LV;53,4;55,2;56,2;57,9
LT;55,8;54,9;54,2;56,8
LU;64,4;61,2;65,9;69,0
HU;49,5;52,4;51,8;50,8
MT;56,0;54,4;57,8;60,1
NL;67,8;74,0;74,0;72,9
AT;59,5;58,7;61,3;63,3
PL;52,4;55,5;56,9;56,8
PT;49,9;53,7;54,4;56,0
RO;49,9;50,8;51,2;52,4
SI;60,8;62,7;66,1;68,4
SK;52,5;53,0;52,4;52,4
FI;72,0;73,1;74,4;73,0
SE;78,8;80,1;79,7;82,6
UK;71,2;68,7;68,9;71,5